Date,Open,High,Low,Close,Volume,Currency
2013-05-20,7000.26,7047.57,6962.04,7046.91,0,BRL
2013-05-21,7046.63,7088.23,7018.95,7088.23,0,BRL
2013-05-22,7088.96,7141.78,7064.89,7097.71,0,BRL
2013-05-23,7097.63,7097.63,7001.56,7067.23,0,BRL
2013-05-24,7067.23,7068.92,6980.33,7066.4,0,BRL
2013-05-27,7067.12,7101.98,7060.86,7073.69,0,BRL
2013-05-28,7074.07,7142.66,7060.05,7065.4,0,BRL
2013-05-29,7065.35,7065.35,6941.67,6954.52,0,BRL
2013-05-31,6954.35,6954.35,6756.81,6853.17,0,BRL
2013-06-03,6853.17,6886.28,6772.61,6851.45,0,BRL
2013-06-04,6851.45,6882.33,6811.63,6868.55,0,BRL
2013-06-05,6868.32,6894.3,6762.59,6784.84,0,BRL
2013-06-06,6785.45,6799.11,6716.7,6757.9,0,BRL
2013-06-07,6756.88,6768.47,6663.28,6674.12,0,BRL
2013-06-10,6674.12,6674.12,6593.98,6611.83,0,BRL
2013-06-11,6611.27,6611.27,6447.47,6471.36,0,BRL
2013-06-12,6471.73,6521.81,6376.43,6418.51,0,BRL
2013-06-13,6475.15,6494.67,6412.1,6491.83,0,BRL
2013-06-14,6491.89,6516.54,6410.34,6417.71,0,BRL
2013-06-17,6417.77,6517.37,6417.77,6457.73,0,BRL
2013-06-18,6457.36,6520.46,6414.88,6508.93,0,BRL
2013-06-19,6508.67,6536.4,6337.16,6368.53,0,BRL
2013-06-20,6362.01,6379.49,6139.84,6379.49,0,BRL
2013-06-21,6380.05,6380.05,6252.08,6275.14,0,BRL
2013-06-24,6274.19,6274.19,6086.03,6154.14,0,BRL
2013-06-25,6154.71,6264.87,6145.33,6239.79,0,BRL
2013-06-26,6244.06,6359.09,6244.06,6319.01,0,BRL
2013-06-27,6313.8,6472.21,6313.8,6445.7,0,BRL
2013-06-28,6445.51,6488.2,6389.59,6461.78,0,BRL
2013-07-01,6460.09,6513.57,6431.03,6503.54,0,BRL
2013-07-02,6503.29,6503.29,6297.96,6321.86,0,BRL
